MC	<p>ce30_9934</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Correct	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>ce30_ae36</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Correct	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect
MC	<p>ce30_65b4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect	In olfaction, odorant binding decreases <strong><strong>cAMP</strong></strong> by directly inhibiting adenylyl cyclase.	Correct	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect
MC	<p>3dba_fba1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Bitter taste commonly uses <strong><strong>GPCR</strong></strong> type receptors and downstream signaling.	Correct
MC	<p>ce30_d19b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Correct	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect
MC	<p>3dba_34b2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	A cascade is less sensitive because it prevents second messenger production.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Correct	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect
MC	<p>ce30_af4a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter tastants are detected by the same receptor used for salty taste.	Correct	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect
MC	<p>3dba_51e9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Correct	A cascade is less sensitive because it prevents second messenger production.	Incorrect
MC	<p>3dba_a5ae</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	In olfaction, <strong><strong>cAMP</strong></strong> can act as a second messenger that gates ion channels.	Correct
MC	<p>3dba_f90c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste is often detected by direct ion flow across the membrane.	Correct	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect
MC	<p>3dba_ec30</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Correct
MC	<p>ce30_9d72</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many bitter compounds are detected through <strong>GPCR</strong> signaling in taste receptor cells.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Correct
MC	<p>3dba_f913</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste is often detected by <strong><strong>GPCR</strong></strong> type receptors on taste cells.	Correct	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect
MC	<p>3dba_f1d2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Correct	In olfaction, ion channels open only after <strong>cAMP</strong> is converted into <strong>cGMP</strong>.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect
MC	<p>ce30_9c26</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Correct	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect
MC	<p>ce30_9248</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Correct	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Incorrect
MC	<p>3dba_5108</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Correct	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect
MC	<p>3dba_d091</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Correct	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect
MC	<p>ce30_fab4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A cascade is less sensitive because it prevents second messenger production.	Correct	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect
MC	<p>ce30_8131</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Odor identity is encoded by patterns of activity across many receptor types.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Correct	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect
MC	<p>ce30_78dd</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Correct	Salty taste is often detected by direct ion flow across the membrane.	Incorrect
MC	<p>3dba_0150</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Correct	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect
MC	<p>3dba_d427</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong><strong>cAMP</strong></strong> or <strong><strong>cGMP</strong></strong>.	Correct	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect
MC	<p>3dba_5e1f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	Odor identity is encoded by patterns of activity across many receptor types.	Correct	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect
MC	<p>ce30_f2f6</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Correct	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect
MC	<p>3dba_a81c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Each olfactory sensory neuron expresses many different olfactory receptor genes.	Incorrect	Salty taste is often detected by direct ion flow across the membrane.	Correct	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect
MC	<p>3dba_6a0d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	In sour sensing cells, protons (H+) can directly change ion channel activity.	Correct	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect
MC	<p>3dba_b16a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Odor identity is encoded by patterns of activity across many receptor types.	Correct	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect
MC	<p>3dba_1a42</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Bitter tastants are detected by the same receptor used for salty taste.	Incorrect	Phosphodiesterase increases cyclic nucleotide levels by synthesizing <strong>cAMP</strong> and <strong>cGMP</strong>.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Many odorant receptors are <strong><strong>GPCR</strong></strong>s expressed in olfactory sensory neurons.	Correct	A cascade is less sensitive because it prevents second messenger production.	Incorrect
MC	<p>3dba_279d</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	Phosphodiesterase makes <strong>cAMP</strong> from ATP and starts signaling.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Correct
MC	<p>ce30_f255</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Salty taste depends on <strong><strong>GPCR</strong></strong> activation of adenylyl cyclase and <strong><strong>cAMP</strong></strong>.	Correct	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	A signaling cascade can amplify a small input into a larger cellular response.	Incorrect
MC	<p>3dba_f686</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Correct
MC	<p>3dba_8b9b</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In mammals, olfactory receptors are ligand gated ion channels that open directly when an odorant binds.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Correct	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
MC	<p>3dba_3d8e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	A cascade is less sensitive because it prevents second messenger production.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Correct	Olfactory transduction primarily depends on <strong>cGMP</strong> made by guanylyl cyclase.	Incorrect
MC	<p>ce30_c516</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, <strong>cAMP</strong> can act as a second messenger that gates ion channels.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Many odorant receptors are <strong>GPCR</strong>s expressed in olfactory sensory neurons.	Incorrect	Sour taste is linked to high acidity and elevated <strong>H<sub>3</sub>O<sup>+</sup></strong> in foods.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Correct
MC	<p>ce30_46d3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Correct	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect
MC	<p>ce30_34b2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	In olfaction, ion channels open only after <strong><strong>cAMP</strong></strong> is converted into <strong><strong>cGMP</strong></strong>.	Correct	Salty taste is often detected by direct ion flow across the membrane.	Incorrect	Taste transduction ends with synaptic signaling to sensory neurons.	Incorrect
MC	<p>3dba_6652</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Correct
MC	<p>3dba_5054</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfaction, odorant binding decreases <strong>cAMP</strong> by directly inhibiting adenylyl cyclase.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Salty taste is primarily detected by nuclear hormone receptors in taste cells.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong><strong>GPCR</strong></strong> proteins.	Correct
MC	<p>3dba_a626</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	<strong><strong>cAMP</strong></strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Correct	Signal amplification means each signaling step reduces the number of activated molecules.	Incorrect
MC	<p>ce30_85a7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong>cAMP</strong> or <strong>cGMP</strong>.	Incorrect	Salty taste commonly involves ion movement through channels rather than <strong>GPCR</strong> signaling.	Incorrect	Signal amplification can occur when one activated receptor leads to many downstream second messengers.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect	Sweet tastants are detected mainly by direct passage of glucose through a membrane channel.	Correct
MC	<p>3dba_fc3e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sweet taste commonly uses a <strong><strong>GPCR</strong></strong> pathway rather than a simple ion channel pore.	Correct	Sour taste is caused by <strong>Na<sup>+</sup></strong> entering taste cells through ENaC channels.	Incorrect	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	A single olfactory sensory neuron expresses every odorant receptor type.	Incorrect
MC	<p>ce30_f168</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	In olfaction, odorant binding decreases <strong><strong>cAMP</strong></strong> by directly inhibiting adenylyl cyclase.	Correct	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	Olfactory sensory neurons typically express one olfactory receptor gene.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Olfactory receptors are commonly seven-transmembrane <strong>GPCR</strong> proteins.	Incorrect
MC	<p>3dba_97b9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Phosphodiesterase can terminate cyclic nucleotide signals by breaking down <strong><strong>cAMP</strong></strong> or <strong><strong>cGMP</strong></strong>.	Correct	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Incorrect	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Sweet taste is detected by a voltage gated sodium channel on taste cells.	Incorrect
MC	<p>3dba_a4b9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	Sour tastants are detected because they increase pH inside taste receptor cells.	Incorrect	Bitter taste occurs only when taste cells take up large amounts of <strong>Ca<sup>2+</sup></strong> from food.	Incorrect	Taste receptor cells do<strong> <strong>NOT</strong> </strong>communicate with neurons and act only as passive sensors.	Incorrect	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Correct	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect
MC	<p>ce30_5473</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Cyclic nucleotide phosphodiesterases reduce signaling by hydrolyzing cyclic nucleotides.	Incorrect	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	In olfaction, ion channels open only after <strong><strong>cAMP</strong></strong> is converted into <strong><strong>cGMP</strong></strong>.	Correct	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	Bitter taste commonly uses <strong>GPCR</strong> type receptors and downstream signaling.	Incorrect
MC	<p>ce30_31e4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Sweet taste commonly uses a <strong>GPCR</strong> pathway rather than a simple ion channel pore.	Incorrect	In olfaction, an odorant can activate a G protein that stimulates adenylyl cyclase.	Incorrect	Taste receptor cells can release neurotransmitter onto afferent neurons.	Incorrect	Sour tastants are associated with low pH and increased proton concentration.	Incorrect	Each odorant activates only one receptor, so smell has a one odor to one receptor code.	Correct
MC	<p>ce30_4ace</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding chemosensation (smell and taste)?</p>	Many odorants activate multiple receptors, producing a combinatorial code.	Incorrect	Most odorants are detected by receptor tyrosine kinases in olfactory neurons.	Correct	Sweet taste is often detected by <strong>GPCR</strong> type receptors on taste cells.	Incorrect	<strong>cAMP</strong> can open cyclic nucleotide gated (CNG) ion channels in olfactory neurons.	Incorrect	Odorant binding can lead to <strong>G<sub>olf</sub></strong> activation and increased <strong>cAMP</strong> production.	Incorrect
MC	<p>3dba_d40c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of chemosensation (smell and taste)?</p>	In olfactory neurons, <strong>cAMP</strong> closes CNG channels to trigger depolarization.	Incorrect	Salty taste depends on <strong>GPCR</strong> activation of adenylyl cyclase and <strong>cAMP</strong>.	Incorrect	Many odorant receptors are <strong><strong>GPCR</strong></strong>s expressed in olfactory sensory neurons.	Correct	Taste transduction bypasses synapses and directly activates the cortex.	Incorrect	Odor identity is determined only by odorant concentration,<strong> <strong>NOT</strong> </strong>by receptor patterns.	Incorrect
