MC	<p>097f_9af1</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect
MC	<p>4106_ce57</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Correct
MC	<p>4106_7b64</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Correct
MC	<p>4106_afb7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Cones are more sensitive to dim light than rods.	Correct	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect
MC	<p>4106_3004</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect
MC	<p>4106_15f0</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Dark current is produced by closing <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect
MC	<p>4106_f245</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod photoreceptors hyperpolarize in response to light.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Correct	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect
MC	<p>4106_fb8d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Rods are responsible for most color discrimination in bright light.	Correct	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect
MC	<p>4106_efe4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Correct	Rods are more sensitive to low light than cones.	Incorrect	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect
MC	<p>097f_5aa2</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Light opens sodium channels in rods and increases inward current.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect	Photon absorption changes <strong><strong>retinal</strong></strong> shape and activates <strong><strong>rhodopsin</strong></strong>.	Correct
MC	<p>097f_ccb5</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	In rods, <strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> activity lowers <strong><strong>cGMP</strong></strong> concentration.	Correct	Rod photoreceptors depolarize strongly in response to light.	Incorrect
MC	<p>4106_7299</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Correct	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect
MC	<p>097f_24a9</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones are more sensitive to dim light than rods.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Correct	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect
MC	<p>4106_39a9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	In rods, <strong>phosphodiesterase (PDE)</strong> activity lowers <strong>cGMP</strong> concentration.	Incorrect	Cones are more sensitive to dim light than rods.	Correct	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>097f_3a6a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Correct
MC	<p>4106_cb13</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Activated <strong><strong>rhodopsin</strong></strong> directly converts ATP into <strong><strong>cGMP</strong></strong> without enzymes.	Correct	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect
MC	<p>4106_e27d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	In rods, activated <strong>rhodopsin</strong> activates a G protein that leads to phosphodiesterase activation.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> terminates signals by producing <strong><strong>cGMP</strong></strong> in the outer segment.	Correct
MC	<p>097f_e3d0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones support color vision and function best at higher light levels than rods.	Correct	Light opens sodium channels in rods and increases inward current.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect
MC	<p>097f_39a0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rods are responsible for most color discrimination in bright light.	Incorrect	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Lower <strong><strong>cGMP</strong></strong> closes <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect
MC	<p>4106_9202</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are more sensitive to low light than cones.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels open when <strong><strong>cGMP</strong></strong> levels fall.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect
MC	<p>4106_c1e1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> increases <strong><strong>cGMP</strong></strong> concentration by synthesizing it from GTP.	Correct	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>097f_b2ce</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect
MC	<p>4106_5875</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Correct	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect
MC	<p>097f_4b46</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Correct
MC	<p>4106_9ef3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Rhodopsin is formed when opsin binds <strong>retinal</strong>.	Incorrect	Cones are more sensitive to dim light than rods.	Correct	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect
MC	<p>097f_bd11</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect
MC	<p>4106_2b45</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels open when <strong><strong>cGMP</strong></strong> levels fall.	Correct	Rod photoreceptors hyperpolarize in response to light.	Incorrect
MC	<p>4106_c285</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Correct	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect
MC	<p>4106_ff8d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Hearing depends on mechanotransduction in hair cells of the inner ear.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong><strong>retinal</strong></strong>.	Correct
MC	<p>097f_64ac</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Cones are more sensitive to dim light than rods.	Incorrect	Rod <strong><strong>CNG</strong></strong> channels close when <strong><strong>cGMP</strong></strong> levels fall.	Correct	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Incorrect	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect
MC	<p>097f_d2bd</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Correct	Phototransduction begins by synthesizing <strong>cGMP</strong> from GDP.	Incorrect	<strong>CNG</strong> channels close in darkness because <strong>cGMP</strong> is highest in light.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect
MC	<p>097f_96ef</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hearing depends on mechanotransduction in hair cells of the inner ear.	Correct	Hair cells depolarize mainly because <strong>Na<sup>+</sup></strong> enters from endolymph through ENaC channels.	Incorrect	In darkness, rods have low <strong>cGMP</strong> and all <strong>CNG</strong> channels are closed.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect
MC	<p>4106_0f0e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Cones support color vision and function best at higher light levels than rods.	Incorrect	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Dark current is produced by closing <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect
MC	<p>097f_ad19</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect	Cones are more sensitive to dim light than rods.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Correct	Hair cells send action potentials down the cochlea without neurotransmitter release.	Incorrect
MC	<p>4106_4006</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	<strong>K<sup>+</sup></strong> influx from endolymph can drive hair cell depolarization.	Incorrect	<strong>phosphodiesterase (<strong>phosphodiesterase (PDE)</strong>)</strong> increases <strong><strong>cGMP</strong></strong> concentration by synthesizing it from GTP.	Correct	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect
MC	<p>097f_a368</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Phototransduction activates adenylyl cyclase to raise cAMP in rods.	Incorrect
MC	<p>4106_93c2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Tip links connect stereocilia and contribute to opening mechanosensitive transduction channels.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Light reduces inward current in rods, causing hyperpolarization.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Correct	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect
MC	<p>4106_0569</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Unlike many sensory receptors that depolarize to stimulus, rods hyperpolarize to light.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Correct	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Rhodopsin consists of an opsin protein plus a <strong>retinal</strong> chromophore.	Incorrect
MC	<p>4106_65e8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Lower <strong>cGMP</strong> closes <strong>CNG</strong> channels in rod outer segments.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Cones support color vision and function best at higher light levels than rods.	Incorrect	Hair cells detect sound by photoreception in the cochlea.	Correct
MC	<p>4106_6ff0</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Mechanical tension through tip links can gate hair cell transduction channels.	Incorrect	Hair cell signaling to the auditory nerve occurs through synaptic transmission.	Incorrect	Dark current is produced by closing <strong><strong>CNG</strong></strong> channels in rod outer segments.	Correct	Rod photoreceptors hyperpolarize in response to light.	Incorrect	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect
MC	<p>097f_0fd6</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels open when <strong>cGMP</strong> levels fall.	Incorrect	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Cones are more sensitive to dim light than rods.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect
MC	<p>097f_444f</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Correct	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Incorrect	Tip links prevent ion channels from opening and block mechanotransduction.	Incorrect	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect
MC	<p>097f_e1f0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Hearing relies mainly on GPCR signaling cascades that take seconds to operate.	Incorrect	Rods are more sensitive to low light than cones.	Correct	Hair cells do<strong> <strong>NOT</strong> </strong>use synapses and communicate only by gap junctions to the auditory nerve.	Incorrect	In rods, light increases <strong>cGMP</strong> to open more <strong>CNG</strong> channels.	Incorrect	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect
MC	<p>097f_d44a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Rods are more sensitive to low light than cones.	Correct	Tip links stabilize stereocilia but do<strong> <strong>NOT</strong> </strong>help gate mechanotransduction channels.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Rhodopsin is a receptor tyrosine kinase that phosphorylates <strong>retinal</strong>.	Incorrect
MC	<p>4106_4413</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rod <strong>CNG</strong> channels close when <strong>cGMP</strong> levels fall.	Incorrect	Cones are more sensitive to dim light than rods.	Correct	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect
MC	<p>4106_dfea</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Hair cell depolarization can occur when <strong>K<sup>+</sup></strong> enters from <strong>K<sup>+</sup></strong> rich endolymph.	Incorrect	Sound is converted into electrical signals by hair cell deflection.	Incorrect	Phototransduction reduces <strong>cGMP</strong> by increasing its breakdown.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Correct	Photon absorption changes <strong>retinal</strong> shape and activates <strong>rhodopsin</strong>.	Incorrect
MC	<p>4106_c505</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Light causes <strong>retinal</strong> isomerization that triggers a conformational change in opsin.	Incorrect	Hair cells release neurotransmitter to afferent neurons when depolarized.	Incorrect	In darkness, rods have relatively high <strong>cGMP</strong> and open <strong>CNG</strong> channels.	Incorrect	Light opens sodium channels in rods and increases inward current.	Correct	Rods are more sensitive to low light than cones.	Incorrect
MC	<p>097f_78a7</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Light causes <strong><strong>retinal</strong></strong> isomerization that triggers a conformational change in opsin.	Correct	Rods are responsible for most color discrimination in bright light.	Incorrect	<strong>phosphodiesterase (PDE)</strong> increases <strong>cGMP</strong> concentration by synthesizing it from GTP.	Incorrect	Hair cells depolarize mainly because <strong>K<sup>+</sup></strong> leaves the cell into endolymph when stereocilia deflect.	Incorrect	Dark current is produced by closing <strong>CNG</strong> channels in rod outer segments.	Incorrect
MC	<p>097f_26a6</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning vision and hearing transduction?</p>	Dark current in rods is supported by <strong><strong>cGMP</strong></strong> gated channel opening.	Correct	Activated <strong>rhodopsin</strong> directly converts ATP into <strong>cGMP</strong> without enzymes.	Incorrect	Rods are responsible for most color discrimination in bright light.	Incorrect	<strong>phosphodiesterase (PDE)</strong> terminates signals by producing <strong>cGMP</strong> in the outer segment.	Incorrect	Rhodopsin is an ion channel that directly conducts photons into the cell.	Incorrect
MC	<p>4106_1222</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about vision and hearing transduction?</p>	Rods are unusual because the light response is hyperpolarization,<strong> <strong>NOT</strong> </strong>depolarization.	Incorrect	Rods are more sensitive to low light than cones.	Incorrect	Dark current in rods is supported by <strong>cGMP</strong> gated channel opening.	Incorrect	Rod photoreceptors depolarize strongly in response to light.	Correct	Phototransduction uses a G protein cascade that activates <strong>phosphodiesterase (PDE)</strong>.	Incorrect
