MC	<p>d800_6730</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>a3ef_2133</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>e775_b331</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>e775_b818</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>fecf_07b9</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>023d_43f9</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>1959_227d</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>fecf_ddbe</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct
MC	<p>1959_1e48</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>023d_f961</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>1959_675e</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>e775_8537</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect
MC	<p>a3ef_9ac6</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect
MC	<p>023d_b960</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>fecf_0ec2</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>023d_48a1</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>e775_33a5</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>d800_2c7c</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>fecf_9310</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #990000">reddish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect
MC	<p>1959_7a77</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>e775_8799</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>1959_9659</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>1959_9f1d</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>1959_c93d</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>023d_49f6</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>a3ef_04ec</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
MC	<p>a3ef_afed</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #000080"><strong>blue</strong> (460 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect
MC	<p>a3ef_c9ef</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #000080">blue</span> and <span style="color: #9d159d">violet</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Correct
MC	<p>d800_3e2b</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>d800_a3e6</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span>	Incorrect
MC	<p>e775_46ec</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #006600">green</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect
MC	<p>023d_3777</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #b3b300">yellowish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>1959_2237</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct	<span style="color: #006600"><strong>green</strong> (530 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #990000"><strong>red</strong> (700 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect
MC	<p>1959_79b9</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #006600">greenish</span> <span style="color: #000080">blue</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #006600"><strong>green</strong> (530 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Incorrect	<span style="color: #e63900"><strong>orange</strong> (600 nm)</span> and <span style="color: #990000"><strong>red</strong> (700 nm)</span>	Correct
MC	<p>d800_8341</p> <p>A plant with unique photosynthetic pigments has leaves that appear <strong><span style="color: #e63900">orangeish</span> <span style="color: #b3b300">yellow</span></strong>.</p><p>Which one of the following wavelengths of visible light would most effectively be absorbed by this pigment?</p>	<span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span> and <span style="color: #9d159d"><strong>violet</strong> (410 nm)</span>	Incorrect	<span style="color: #4a0080"><strong>indigo</strong> (430 nm)</span> and <span style="color: #e63900"><strong>orange</strong> (600 nm)</span>	Incorrect	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #000080"><strong>blue</strong> (460 nm)</span>	Correct	<span style="color: #9d159d"><strong>violet</strong> (410 nm)</span> and <span style="color: #b3b300"><strong>yellow</strong> (580 nm)</span>	Incorrect
