MC	<p>b005_450c</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Incorrect	development of super-resolved fluorescence microscopy	Incorrect
MC	<p>b005_a465</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning a novel therapy against infections caused by roundworm parasites	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	development of multiscale models for complex chemical systems	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>b005_8a26</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries concerning a novel therapy against Malaria	Incorrect
MC	<p>b005_9bca</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect
MC	<p>b005_4408</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	discoveries of mechanisms for autophagy	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discoveries of the molecular basis for sensing heat, cold and mechanical force, which is fundamental for our ability to feel and touch	Incorrect
MC	<p>b005_6294</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	discovery of the dendritic cell and its role in adaptive immunity, a memory against pathogenic substances	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect
MC	<p>5d70_a721</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>5d70_482b</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>b005_e49b</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect	discoveries concerning a novel therapy against Malaria	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect
MC	<p>5d70_6e52</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of phage display used to evolve new proteins, peptides, and antibodies	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_1194</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Correct	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_da9d</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Correct	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discoveries of mechanisms for autophagy	Incorrect
MC	<p>b005_b09f</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect
MC	<p>5d70_06e8</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect
MC	<p>5d70_5804</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Correct	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_9888</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	development of asymmetric organocatalysis tools that revolutionised pharmaceutical research and made chemistry greener	Incorrect
MC	<p>b005_af74</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect
MC	<p>5d70_e78f</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discovery that mature cells can be reprogrammed to become pluripotent stem cells	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_e332</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	discoveries of cells that constitute a positioning system in the brain	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect
MC	<p>b005_06b5</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	discoveries of how cells sense and adapt to oxygen availability	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct
MC	<p>b005_0aa2</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	development of phage display used to evolve new proteins, peptides, and antibodies	Incorrect	mechanistic studies of DNA repair and how cells repair damaged DNA and safeguard the genetic information	Incorrect	discovery of cancer therapy by inhibition of negative immune regulation	Incorrect	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect
MC	<p>5d70_0cff</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	discoveries concerning a novel therapy against infections caused by roundworm parasites	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect
MC	<p>b005_2185</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of cells that constitute a positioning system in the brain	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Correct	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Incorrect
MC	<p>b005_37da</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	development of the method for precise genome editing using CRISPR/Cas9 genetic scissors	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	discoveries of molecular mechanisms controlling the circadian rhythm	Incorrect	development of directed evolution of enzymes used to manufacture everything from biofuels to pharmaceuticals	Incorrect
MC	<p>5d70_99ac</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect	development of lithium-ion batteries that are lightweight, rechargeable, powerful, and store significant amounts of energy	Correct	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect
MC	<p>5d70_232c</p> <strong>BONUS:</strong> Which of the following was<strong> <strong>NOT</strong> </strong>a topic of the 2022 Nobel Prizes awarded this week??	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Incorrect	development of super-resolved fluorescence microscopy	Correct	discoveries concerning the genomes of extinct hominins and human evolution	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Incorrect	development of click chemistry in which molecular building blocks snap together quickly and efficiently	Incorrect
MC	<p>b005_a6ca</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	used a method called X-ray crystallography to solve the structure and function of the ribosome	Incorrect	establishing the violation of Bell inequalities and pioneering quantum information science using entangled photons	Correct	advanced mathematical methods to study unusual states of matter, such as superconductors, superfluids and thin magnetic films	Incorrect	discovery and studies of G-protein coupled receptors (GPCRs)	Incorrect	discoveries concerning the activation of innate immunity when encountering pathogenic microorganisms	Incorrect
MC	<p>b005_4777</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries concerning the genomes of extinct hominins and human evolution	Correct	discovery of quasicrystals with regular patterns that never repeat themselves that was considered impossible	Incorrect	discovery of blood-borne Hepatitis C virus, a major global health problem	Incorrect	development of multiscale models for complex chemical systems	Incorrect	design and synthesis of molecular machines to be used in the development of new materials, sensors, and energy storage	Incorrect
MC	<p>b005_9ff3</p> <strong>BONUS:</strong> Which of the following was a topic of the 2022 Nobel Prizes awarded this week?	discoveries of machinery regulating vesicle transport in our cells	Incorrect	development of bioorthogonal chemistry reactions that take place without disrupting the normal chemistry of the cell	Correct	discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales	Incorrect	developing cryo-electron microscopy high-resolution structure determination of biomolecules in solution	Incorrect	physical modelling of Earth climate: quantifying variability and reliably predicting global warming	Incorrect
